"keys","cs"
,
"lbl_save_backups","Složka se zálohami her:"
"btn_restore_backup","Obnovit zálohu"
"btn_delete_backup","Smazat"
"btn_refresh_backups","Obnovit"
"lbl_manual_backup","Manuální záloha"
"lbl_backup_name","Jméno:"
"btn_create_backup","Vytvořit"
"lbl_backup_info_placeholder","Vyberte existující zálohu pro zobrazení detailů."
"cbtn_backup_before_launch","Automaticky zálohovat uložení před spuštěním hry"
"cbtn_backup_after_closing","Automaticky zálohovat uložení po zavření hry"
,
"backup_info_location","Lokace:"
"backup_info_worlds","Světy:"
"backup_info_multiple_selected","Vybráno více záloh"
"backup_info_selected_count","Vybráno: %s záloh"
"and","a"
"more","více"
