"keys","cs"
,
"msg_mod_json_parsing_failed","Nepodařilo se zparsovat %s"
"msg_mod_deleted","Smazán %s"
"msg_mod_not_found","Nepodařilo se najít mod s ID \""%s\"""
"msg_deleting_n_mods","Mažu %s modů..."
"msg_obsolete_mod_collision","Už existuje zastaralý mod s ID %s. [i]%s[/i] bude nainstalován s upraveným ID a jménem kvůli konfliktu."
"msg_mod_installed","Nainstalován %s"
"msg_installing_n_mods","Instaluji %s modů..."
"msg_updating_mods_with_game","Updating %s mod(s) alongside the game..."
"msg_mod_download_failed","Nepodařilo se stáhnout mod %s"
"msg_mod_extraction_failed","Nepodařilo se rozbalit mod %s"
"msg_mod_extraction_error","Chyba při rozbalování modu %s: %s"
"msg_wiping_mod_repo","Mažu repozitář..."
