"keys","cs"
,
"msg_updating_game","Aktualizuji na %s..."
"msg_installing_game","Instaluji %s..."
"msg_game_updated","Aktualizace dokončena."
"msg_game_installed","Instalace dokončena."
"msg_deleting_game","Odebírám %s..."
"msg_game_deleted","Odstranění dokončeno."
"msg_delete_not_found","Pokus o odstranění vydání \"%s\", ale nebylo nalezeno na disku."
"msg_install_no_game_dir_found","V rozbaleném archívu nebyla nalezena platná herní složka."
"msg_install_extract_failed","Rozbalení archívu selhalo s chybovou hláškou: %s"
"msg_install_archive_not_found","Instalační archív nebyl nalezen: %s"
"msg_install_no_valid_dirs_found","V rozbaleném archívu nebyly nalezeny platné složky."
"msg_install_using_first_dir","Nalezeno více složek, používám první: %s"
"msg_install_set_executable","Nastavuji spustitelná oprávnění pro: %s"
"msg_install_chmod_failed","Nepodařilo se nastavit spustitelná oprávnění pro %s (chyba: %s)"
"msg_install_set_app_executable","Nastavuji spustitelná oprávnění pro spustitelný soubor %s: %s"
"msg_install_app_chmod_failed","Nepodařilo se nastavit spustitelná oprávnění pro aplikační balíček %s:%s (chyba: %s)"
