"keys","en"
,
"msg_updating_game","Updating to %s..."
"msg_installing_game","Installing %s..."
"msg_game_updated","Update finished."
"msg_game_installed","Installation finished."
"msg_deleting_game","Removing %s..."
"msg_game_deleted","Removal finished."
"msg_delete_not_found","Attempted to remove release \"%s\", but could not find it on disk."
"msg_install_no_game_dir_found","No valid game directory found in extracted archive."
"msg_install_extract_failed","Archive extraction failed with error code: %s"
"msg_install_archive_not_found","Installation archive not found: %s"
"msg_install_no_valid_dirs_found","No valid directories found in extracted archive."
"msg_install_using_first_dir","Multiple directories found, using first one: %s"
"msg_install_set_executable","Set executable permissions for: %s"
"msg_install_chmod_failed","Failed to set executable permissions for %s (error: %s)"
"msg_install_set_app_executable","Set executable permissions for %s executable: %s"
"msg_install_app_chmod_failed","Failed to set app bundle executable permissions for %s:%s (error: %s)"
"msg_install_no_download_url","Cannot install %s: no download URL available for this platform. This is likely due to the build being recently uploaded. Please try an earlier build or wait an hour."
"msg_install_build_in_progress","Cannot install %s: the build is still in progress. Please wait an hour and try again, or install a previous version."
