"keys","en"
,
"msg_no_sound_dir","Sound directory does not exist: %s"
"msg_no_config_dir","Config directory does not exist."
"msg_could_not_create_config_dir","Could not create config directory."
"msg_could_not_write_options","Could not write to game options file."
"msg_deleting_sound","Deleting %s"
"msg_soundpack_not_found","Could not find soundpack named \""%s\"""
"msg_installing_sound","Installing soundpack \""%s\""..."
"msg_reinstalling_sound","Reinstalling soundpack \""%s\""..."
"msg_sound_download_failed","Could not download soundpack archive."
"msg_sound_installed","Soundpack installed."
"msg_soundpack_activated","Soundpack \""%s\"" has been set as active."
