"keys","en"
,
"lbl_installed_tilesets","Installed:"
"lbl_avail_tilesets","Downloadable:"
"cbtn_stock_tilesets","Show stock"
"btn_delete_tilesets","Delete Selected"
"btn_install_tilesets","Install Selected"
"btn_reinstall_tileset","Reinstall Selected"
,
"tooltip_stock_tilesets","Show tilesets from gfx on the list. (Always checked for now)"
"tooltip_delete_tilesets","Remove the selected tileset from your game installation."
"tooltip_install_tilesets","Download the selected tileset and add it to your game installation."
,
"dlg_tileset_deletion_title","Confirm Tileset Deletion"
"dlg_tileset_deletion_text","Deleting %s."
"dlg_tileset_manual_dl_title","Manual Download Required"
"dlg_tileset_manual_dl_text","This tileset cannot be downloaded automatically. Click OK to download it in your browser, then choose where you saved it in the file selection dialog."
,
"str_no_tileset_desc","No description provided." 
