"keys","en"
,
"tip_os_hopping","You can bring your Catapult-Dabubu data folder from Windows to Linux (or vice versa), but you will still need the correct Catapult-Dabubu executable and a C-AOL build for that platform."
"tip_dual_install","Catapult-Dabubu is C-AOL-first: use the release list to install supported C-AOL builds, while inherited content tools keep mods, soundpacks, and tilesets separate from saves."
"tip_downgrading","You can downgrade your game version by choosing to \""update\"" to an earlier build, but beware of save compatibility issues."
"tip_stock_mods","Mods that come with the game are not managed by Catapult-Dabubu. The launcher only deals with the [i]/mods[/i] folder, not [i]/data/mods[/i]."
"tip_mod_multi_install","You can select multiple mods to install/delete by [i]Ctrl-clicking[/i] and [i]Shift-clicking[/i] in the lists."
"tip_debug_mode","Getting unhelpful error messages? Try enabling debug mode under [i]Settings[/i] for more verbose output."
"tip_bug_reporting","If you're having an issue with Catapult-Dabubu, check the project notes first; public issue reporting belongs on the Catapult-Dabubu repo once Josef/Schani have cleared public release workflow."
"tip_backup_caveat","If you keep multiple worlds in your game, beware that savegame backups always operate on the entire save directory. This means that when a backup is restored, all previous contents of the save directory are lost (including any worlds that weren't in this backup)."
"tip_multi_install","You can now have multiple versions of the game installed at the same time and easily switch between them. However, saves and other user data are shared between installs, so beware of breakages or corruption when switching between too-dissimilar versions (e.g. stable and experimental)."
"tip_discord","Catapult-Dabubu is a C-AOL-specific launcher. Keep feedback tied to C-AOL install, backend setup, and preserved content-management behavior."
"tip_launcher","[color=#ff3300]Do not lose your save files![/color] The launcher stores your saves separately so that when updating the game they do not get lost. Make sure you run the game using the launcher"
"tip_mods","You can now install mods to your game using the launcher! Just go to the mods tab and you can see which mods can be downloaded for your selected version of Cataclysm"
