"keys","es"
,
"lbl_save_backups","Carpeta de backups guardados:"
"btn_restore_backup","Restaurar"
"btn_delete_backup","Borrar"
"btn_refresh_backups","Refrescar"
"lbl_manual_backup","Copia de seguridad manual"
"lbl_backup_name","Nombre:"
"btn_create_backup","Crear"
"lbl_backup_info_placeholder","Selecciona un backup para ver sus detalles."
"cbtn_backup_before_launch","Hacer backup automático de los saves antes de iniciar el juego"
"cbtn_backup_after_closing","Hacer backup automático de los saves después de cerrar el juego"
,
"backup_info_location","Carpeta:"
"backup_info_worlds","Mundos:"
"backup_info_multiple_selected","Múltiples backups seleccionados"
"backup_info_selected_count","Seleccionados: %s backups"
"and","y"
"more","más"
