"keys","es"
,
"msg_mod_json_parsing_failed","No se pudo analizar %s"
"msg_mod_deleted","Eliminado %s"
"msg_mod_not_found","No se pudo encontrar el mod con ID \""%s\"""
"msg_deleting_n_mods","Eliminando %s mods..."
"msg_obsolete_mod_collision","Ya hay un mod obsoleto con ID %s. [i]%s[/i] se instalará con ID y nombre modificados para evitar colisiones."
"msg_mod_installed","Instalado %s"
"msg_installing_n_mods","Instalando %s mods..."
"msg_updating_mods_with_game","Updating %s mod(s) alongside the game..."
"msg_wiping_mod_repo","Limpiando el repositorio..."
"msg_mod_download_failed","Error al descargar el mod %s"
"msg_mod_extraction_failed","Error al extraer el mod %s"
"msg_mod_extraction_error","Error de extracción para el mod %s: %s"
