"keys","es"
,
"msg_unsupported_platform","Plataforma no soportada: \""%s\"""
"msg_releases_request_failed","Solicitud fallida.¿Tienes conexión a internet?"
"msg_releases_api_failure","No se pudo obtener la lista de versiones. GitHub dice: %s"
"msg_got_n_releases","Hay %s lanzamientos."
"msg_fetching_releases_dda","Buscando lanzamientos para DDA Experimental..."
"msg_fetching_releases_bn","Buscando lanzamientos para BN Experimental..."
"msg_fetching_releases_eod","Obteniendo lanzamientos para EOD Experimental..."
"msg_fetching_releases_tish","Obteniendo lanzamientos para TISH Experimental..."
"msg_fetching_releases_tlg","Obteniendo lanzamientos para TLG Experimental..."
"msg_fetching_releases","Obteniendo lanzamientos para \""%s""..."
"msg_invalid_fetch_func_param","ReleaseManager.fetch() recibió %s"
"msg_please_wait","Por favor espere..."
"msg_please_wait_stable","Por favor espere, obteniendo versiones estables..."
