"keys","es"
,
"lbl_launcher_language","Lenguaje de launcher"
"lbl_launcher_theme","Tema de launcher"
"cbtn_show_game_desc","Mostrar una descripción del juego"
"cbtn_keep_launcher_open","Mantener el lanzador abierto después de comenzar el juego"
"cbtn_print_tips","Mostrar consejos del día en el inicio."
"cbtn_updating_to_same_build","Permitir ""actualizar"" a la misma versión instalada"
"cbtn_keep_cache","Mantener caché de descarga"
"cbtn_ignore_cache","Ignorar caché de descarga"
"cbtn_enable_proxy","Habilitar  "
"obtn_proxy_option_off", "Deshabilitado"
"obtn_proxy_option_on", "Habilitado"
"obtn_proxy_option_download", "Solo para descarga"
"cbtn_shorten_release_names","Acortar los nombres de los lanzamientos experimentales."
"cbtn_always_show_installs","Mostrar siempre la lista de instalaciones"
"cbtn_show_obsolete_mods","Listar los mods obsoletos en la lista de instalados"
"cbtn_update_mods_with_game","Update mods when updating the game"
"cbtn_debug_mode","Modo debug"
"lbl_num_releases_to_request","Número de lanzamientos a solicitar:"
"lbl_num_prs_to_request","Número de resultados para descargar para la lista de cambios:"
"lbl_ui_scale_override","Escalado de interfaz personalizada:"
"cbtn_enable_scale","Habilitar  "
,
"tooltip_show_game_desc","Mostrar una descripción para el juego elegido debajo de la lista de Juego."
"tooltip_keep_launcher_open","Si está desactivado, el iniciador se cerrará después de hacer clic en Reproducir o Reanudar.\nTenga en cuenta que si el juego no se inicia por algún motivo, el iniciador\nse cerrará igualmente."
"tooltip_print_tips","Mostrar un tip aleatorio en el panel de estado cuando comienza el launcher."
"tooltip_updating_to_same_build","Permitir iniciar el procedimiento de actualización incluso cuando el lanzamiento\nseleccionado sea el mismo que el instalado actualmente."
"tooltip_shorten_release_names","Acortar los nombres de lanzamiento a la fecha y el número\n(ej. ""2021-09-08-1927" "en vez de\n""Cataclysm-DDA experimental build 2021-09-08-1927"")."
"tooltip_always_show_installs","Mostrar la lista de instalaciones incluso cuando solo\nse haya instalado una copia del juego, o ninguna".
"tooltip_update_mods_with_game","When updating the game, automatically reinstall any\ninstalled mods that have a newer version available."
"tooltip_show_obsolete_mods","Mostrar mods que vienen con el juego, pero están marcados como ""obsoletos"".\nNormalmente, esos mods no se consideran instalados."
"tooltip_debug_mode","Muestra la pestaña ""Debug"" con algunas funciones de prueba\ny habilita los mensajes debug en el panel de estado\n(Esto es útil para solucionar problemas)."
"tooltip_num_releases_to_request","Cuantos de los últimos lanzamientos serán solicitados\ndesde GitHub luego de iniciar el launcher,\nal elegir el juego o hacer clic en Refrescar."
"tooltip_num_prs_to_request","Cuantas pull requests (código añadido)\nserán solicitados desde GitHub para armar la lista de cambios.\nUn numero alto puede resultar en respuestas lentas o fallos."
"tooltip_ui_scale_override","Usa esto si la escala de interfaz automáticamente se ve demasiado grande\no muy pequeña en tu sistema. (La escala automática depende los DPI \nreportados por el sistema, que puede no funcionar en todos los sistemas, \no dar resultados inadecuados cuando la resolución es demasiado baja)."
"tooltip_keep_cache","Mantener contenidos descargados (lanzamientos de juegos, paquetes de mods, paquetes de sonido) en carpeta de caché\ncuando la instalación se complete, en lugar de eliminarlos."
"tooltip_ignore_cache","Siempre descargar contenidos desde la web,\naunque ya estén dentro de la carpeta de caché."
"tooltip_proxy_settings","Configurar un servidor proxy para descargar."
"tooltip_proxy_options","Deshabilitado - No usar proxy\nHabilitado - Usar proxy en todas las ocasiones (ej. solicitando lanzamientos)\nSolo para descarga - Usar proxy solo al descargar"
