"keys","es"
,
"lbl_installed_tilesets","Instalados:"
"lbl_avail_tilesets","Descargables:"
"cbtn_stock_tilesets","Mostrar stock"
"btn_delete_tilesets","Eliminar seleccionado"
"btn_install_tilesets","Instalar seleccionado"
"btn_reinstall_tileset","Reinstalar seleccionado"
,
"tooltip_stock_tilesets","Mostrar tilesets de gfx en la lista."
"tooltip_delete_tilesets","Eliminar el tileset seleccionado de la instalación del juego."
"tooltip_install_tilesets","Descargar el tileset seleccionado y agregarlo a la instalación del juego."
,
"dlg_tileset_deletion_title","Confirmar eliminación de tileset"
"dlg_tileset_deletion_text","Eliminando %s."
"dlg_tileset_manual_dl_title","Descarga manual requerida"
"dlg_tileset_manual_dl_text","Este tileset no se puede descargar automáticamente. Haz clic en OK para descargarlo en tu navegador, luego elige dónde lo guardaste en el diálogo de selección de archivos."
,
"str_no_tileset_desc","No se ha proporcionado descripción." 
