"keys","fr"
,
"window_title","Dabdoob – un lanceur pour Cataclysm: DDA et BN"
"str_welcome","Bienvenue sur Dabdoob!"
"str_tip_of_the_day","\n\n[u]Astuce du jour:[/u]\n"
"str_donor_of_the_day","\n\n[color=#f5c842][b]— Message from a donor —[/b][/color]\n"
"msg_theme_load_error","Impossible de charger le thème %s."
"debug_test","Ceci est un texte de débogage pour tester la récupération de la traduction"
,
"tag_warning","avertissement"
"tag_error","erreur"
"tag_debug","débogage"
,
"lbl_game","Jouer: "
"desc_dda","[b]Cataclysm: Dark Days Ahead[/b] est un jeu de survie au tour par tour qui se déroule dans un monde post-apocalyptique. Récupérez, explorez, fabriquez, construisez, cultivez, réparez et modifiez des véhicules, installez des éléments bioniques, mutez, défendez-vous contre les [color=#009900]zombies[/color] et d'innombrables autres monstruosités, le tout dans un monde illimité généré de manière procédurale!"
"desc_bn","[b]Cataclysm: Bright Nights[/b]. Rejetez le pédantisme, adoptez le [color=#ff3300]!!fun!![/color]. Ce fork ramène le jeu à ses racines de science-fiction roguelike et annule de nombreux changements controversés par l'équipe DDA (poches, compétences, gel et [color=#3b93f7][url=https://docs.cataclysmbn.org/en/game/changelog/]plus[/url][/color]). Une attention particulière est portée au combat, à l'équilibre du jeu et au rythme. "
"desc_eod","[b]Cataclysm: Era of Decay[/b] est un fork de DDA, visant principalement à avoir autant de configurabilité accessible aux joueurs que possible, sans supprimer complètement les fonctionnalités ou le contenu du jeu original et en laissant le jeu réaliste avec les paramètres par défaut. Amusez-vous de la manière que [color=#ff3300]vous[/color] voulez."
"desc_tish","[b]Cataclysm: There Is Still Hope[/b] est un fork de DDA qui met l'accent sur le fait que le jeu est intéressant par-dessus tout, rejetant les dichotomies de ''réalisme ou amusement'' et de ''vraisemblance ou amusement''."
"desc_tlg","[b]Cataclysm: The Last Generation[/b] a pour objectif principal de préserver la profondeur et le respect de la plausibilité de Cataclysm tout en affinant ce qu'il a toujours fait de mieux en tant que jeu, mettant en avant la progression des personnages et les éléments de simulation de vie immersive dans un monde qui mettra vos compétences de survie à l'épreuve."
,
"tab_game","Jeu"
"tab_mods","Mods"
"tab_soundpacks","Packs de sons"
"tab_fonts","Polices"
"tab_backups","Sauvegardes"
"tab_settings","Paramètres"
"tab_about","À propos"
"about_app_title","Dabdoob - Lanceur Cataclysm"
"about_app_desc","Dabdoob est un lanceur qui continue le développement du lanceur Catapult maintenant abandonné. Il est développé et maintenu par une seule personne. Vous pouvez me trouver sur Discord et Github dans les liens ci-dessous.

Si vous appréciez le travail des créateurs de Cataclysm et de ses Mods/Tilesets/Soundpacks, n'oubliez pas de les découvrir et si vous appréciez mon travail, pensez à faire un don via le lien ci-dessous!"
"about_links","Liens"
"thank_you_title","Merci d'avoir téléchargé Dabdoob!"
"thank_you_message","Merci d'avoir installé Dabdoob! J'espère que vous l'apprécierez.

Cela ne vous concerne peut-être pas maintenant, mais si vous vous sentez déprimé, anxieux ou incertain de vous-même, veuillez tendre la main à un être cher, un ami ou quelqu'un en qui vous avez confiance.
Cela ne fait pas de vous un fardeau.
La façon dont vous vous sentez n'est pas définitive et les choses s'amélioreront.

Je vous souhaite une agréable journée et j'espère que vous vous amuserez avec mon lanceur."
"msg_extract_create_dir_failed","Échec de création du répertoire d'extraction %s (erreur : %s)"
"msg_extract_tool_not_found","Outil d'extraction introuvable : %s"
"msg_dmg_only_macos","Les fichiers DMG ne peuvent être extraits que sous macOS"
"msg_mounting_dmg","Montage du fichier DMG : %s"
"msg_dmg_mount_failed","Échec du montage du fichier DMG (erreur : %s)"
"msg_dmg_mount_point_failed","Échec de l'analyse du point de montage DMG"
"msg_copying_dmg_contents","Copie du contenu depuis : %s"
"msg_unmounting_dmg","Démontage du fichier DMG"
"msg_dmg_unmount_warning","Avertissement : Échec du démontage DMG (erreur : %s)"
"msg_no_executable_found_macos","Aucun exécutable trouvé dans le répertoire du jeu"
"msg_fixing_executable_permissions","Correction des permissions d'exécution pour : %s"
"msg_chmod_failed","Échec de la définition des permissions d'exécution pour %s (erreur : %s)"
"msg_setting_working_dir","Définition du répertoire de travail sur : %s"
"Starting macOS app bundle: %s","Démarrage du bundle d'application macOS : %s"
