"keys","fr"
,
"msg_updating_game","Mettre à jour vers %s..."
"msg_installing_game","Installe %s..."
"msg_game_updated","Mise à jour terminée."
"msg_game_installed","Installation terminée."
"msg_deleting_game","Suppression de %s..."
"msg_game_deleted","Suppression terminée."
"msg_delete_not_found","Tentative de suppression de la version \"%s\", mais introuvable sur le disque."
"msg_install_no_game_dir_found","Aucun répertoire de jeu valide trouvé dans l'archive extraite."
"msg_install_extract_failed","L'extraction de l'archive a échoué avec le code d'erreur : %s"
"msg_install_archive_not_found","Archive d'installation introuvable : %s"
"msg_install_no_valid_dirs_found","Aucun répertoire valide trouvé dans l'archive extraite."
"msg_install_using_first_dir","Plusieurs répertoires trouvés, utilisation du premier : %s"
"msg_install_set_executable","Définir les permissions d'exécution pour : %s"
"msg_install_chmod_failed","Échec de la définition des permissions d'exécution pour %s (erreur : %s)"
"msg_install_set_app_executable","Définir les permissions d'exécution pour l'exécutable %s : %s"
"msg_install_app_chmod_failed","Échec de la définition des permissions d'exécution du bundle d'application pour %s:%s (erreur : %s)"
