"keys","fr"
,
"tip_os_hopping","Vous pouvez transférer le dossier Dabdoob de Windows vers Linux (ou vice versa) et continuer à l’utiliser, mais vous devrez télécharger le bon exécutable Dabdoob et mettre à jour votre jeu au moins une fois."
"tip_dual_install","[i]C:DDA[/i] et [i]C:BN[/i] peuvent être installés en même temps. Leurs installations sont complètement indépendantes et leurs mises à jour, mods et packs sonores sont gérés séparément"
"tip_downgrading","Vous pouvez rétrograder votre version du jeu en mettant à jour vers une version précédente, mais faites attention aux problèmes de compatibilité des sauvegardes."
"tip_stock_mods","Les mods fournis avec le jeu ne sont pas gérés par Dabdoob (sauf pour empêcher leur installation une seconde fois). Dabdoob ne traite que le dossier [i]mods[/i], pas [i]data/mods[/i]."
"tip_mod_multi_install","Vous pouvez sélectionner plusieurs mods à installer/supprimer en faisant [i]ctrl+clic[/i] et [i]maj+clic[/i] dans les listes."
"tip_debug_mode","Vous recevez des messages d’erreur inutiles? Essayez d’activer le mode débogage sous [i]Paramètres[/i] pour un affichage plus détaillé."
"tip_bug_reporting","Si vous rencontrez un problème avec le lanceur et que vous ne le voyez pas déjà signalé [color=#3b93f7][url=https://github.com/Hihahahalol/Catapult_Dabdoob/issues]sur GitHub[/url][/color ], alors vous pourriez bien être la première personne à le remarquer ! Pensez à créer un ticket pour cela, si vous avez un compte GitHub. "
"tip_backup_caveat","Si vous conservez plusieurs mondes dans votre jeu, sachez que les backups des sauvegardes fonctionnent toujours sur l’intégralité du répertoire des sauvegardes. Cela signifie que lorsqu’une sauvegarde est restaurée, tout le contenu précédent du répertoire de sauvegarde est perdu (y compris tous les mondes qui n’étaient pas dans cette sauvegarde)."
"tip_multi_install","Vous pouvez désormais avoir plusieurs versions du jeu installées en même temps et basculer facilement entre elles. Cependant, les sauvegardes et autres données utilisateur sont partagées entre les installations, alors méfiez-vous des pannes ou de la corruption lors du basculement entre des versions trop différentes (par exemple stable et expérimental)."
"tip_discord","Vous voulez discuter avec le développeur ? Il y a un canal dédié pour discuter du lanceur sur le [color=#3b93f7][url=https://discord.com/invite/zT9sXmZNCK]Discord[/url][/color] de TLG."
"tip_launcher","[color=#ff3300]Ne perdez pas vos fichiers de sauvegarde ![/color] Le lanceur stocke vos sauvegardes séparément afin qu'elles ne soient pas perdues lors de la mise à jour du jeu. Assurez-vous de lancer le jeu en utilisant le lanceur"
"tip_mods","Vous pouvez maintenant installer des mods dans votre jeu en utilisant le lanceur ! Il suffit d'aller dans l'onglet mods et vous pourrez voir quels mods peuvent être téléchargés pour votre version sélectionnée de Cataclysm"
