"keys","ja"
,
"msg_backing_up_saves","現在のセーブを\""%s\""にバックアップ中..."
"msg_backup_created","バックアップが作成されました：%s"
"msg_backup_name_taken","\""%s\""という名前のバックアップが既に存在します。"
"msg_restoring_backup","バックアップ\""%s\""を復元中..."
"msg_backup_restored","バックアップが復元されました：%s"
"msg_backup_not_found","バックアップ\""%s\""が見つかりませんでした。"
"msg_deleting_backup","バックアップ\""%s\""を削除中..."
"msg_backup_deleted","バックアップが削除されました：%s"
"msg_deleting_multiple_backups","%s個のバックアップを削除中..."
"msg_multiple_backups_deleted","%s個のバックアップを削除しました。"
"msg_backup_creation_failed","バックアップの作成に失敗しました：%s"
"msg_backup_restoration_failed","バックアップの復元に失敗しました：%s"
"msg_backup_deletion_failed","バックアップの削除に失敗しました：%s" 
