"keys","ja"
,
"lbl_save_backups","セーブディレクトリのバックアップ："
"btn_restore_backup","復元"
"btn_delete_backup","削除"
"btn_refresh_backups","更新"
"lbl_manual_backup","手動バックアップ"
"lbl_backup_name","名前："
"btn_create_backup","作成"
"lbl_backup_info_placeholder","既存のバックアップを選択すると、ここに詳細が表示されます。"
"cbtn_backup_before_launch","ゲーム起動前にセーブを自動バックアップ"
"cbtn_backup_after_closing","ゲーム終了後にセーブを自動バックアップ"
,
"backup_info_location","場所："
"backup_info_worlds","世界："
"backup_info_multiple_selected","複数のバックアップが選択されています"
"backup_info_selected_count","選択済み：%s個のバックアップ"
"and","と"
"more","その他" 
