"keys","ja"
,
"msg_list_dir_failed","ディレクトリ %s のリストに失敗しました。エラーコード：%s。"
"msg_cannot_create_target_dir","ターゲットディレクトリ %s を作成できませんでした。エラーコード：%s。"
"msg_copy_file_failed","ファイル \"%s\" のコピーに失敗しました。エラーコード：%s。"
"msg_copy_file_failed_details","[u]ソースパス：[/u] %s、[u]宛先パス：[/u] %s。"
"msg_remove_file_failed","ファイル \"%s\" の削除に失敗しました。エラーコード：%s。"
"msg_remove_file_failed_details","[u]フルパス：[/u] %s。"
"msg_rm_dir_failed","ディレクトリ %s の削除に失敗しました。エラーコード：%s。"
"msg_create_dir_failed","ターゲットディレクトリ %s を作成できませんでした。エラーコード：%s。"
"msg_move_file_failed","ファイル \"%s\" の移動に失敗しました。エラーコード：%s。"
"msg_move_file_failed_details","[u]ソースパス：[/u] %s、[u]宛先パス：[/u] %s。"
"msg_move_rmdir_failed","ソースディレクトリ %s を削除できませんでした。エラーコード：%s。"
"msg_extract_unsupported","サポートされていないプラットフォームまたはアーカイブ形式（ファイル：%s）"
"msg_extracting_file","%s を展開中..."
"msg_extract_error","アーカイブ展開コマンドがエラーで終了しました（終了コード：%s）"
"msg_extract_failed_cmd","失敗したコマンド：%s"
"msg_extract_fail_output","出力：%s"
"msg_zipping_file","%s を圧縮中..."
"msg_zip_error","アーカイブ圧縮コマンドがエラーで終了しました（終了コード：%s）" 
