"keys","ja"
,
"msg_game_option_not_found_get","ゲームオプション\""%s\""を取得しようとしましたが、見つかりませんでした。"
"msg_game_option_not_found_set","ゲームオプション\""%s\""を設定しようとしましたが、見つかりませんでした。"
"msg_failed_to_open_font_info","バンドルされたフォント情報を開けませんでした。"
"msg_could_not_parse_font_info","バンドルされたフォント情報を解析できませんでした。"
"msg_font_info_error_details","エラーコード：%s。エラー行：%s。エラーメッセージ：%s"
"msg_could_not_parse_font_config","フォント設定ファイル%sを解析できませんでした。"
"msg_font_config_error_details","エラーコード：%s。エラー行：%s。エラーメッセージ：%s"
"msg_failed_to_open_font_config","フォント設定ファイル%sを開けませんでした（エラーコード：%s）。"
"msg_font_config_not_found","フォント設定ファイル%sが見つかりませんでした！"
"msg_could_not_parse_game_options","ゲーム設定ファイル%sを解析できませんでした。"
"msg_game_options_error_details","エラーコード：%s。エラー行：%s。エラーメッセージ：%s"
"msg_could_not_open_game_options","ゲーム設定ファイル%sを開けませんでした（エラーコード：%s）。"
"msg_game_options_not_found","ゲーム設定ファイル%sが見つかりませんでした！"
"msg_game_options_invalid_format","ゲーム設定ファイル%sの形式が無効です（配列が必要です）。"
"msg_font_config_not_writable","フォント設定ファイル%sを書き込み用に開けませんでした。"
"msg_game_options_saved","ゲーム設定を[i]options.json[/i]に保存しました。"
"msg_game_options_not_writable","ゲーム設定ファイル%sを書き込み用に開けませんでした。"
"msg_could_not_install_font","フォントファイル%sをインストールできませんでした（エラーコード：%s）。"
"msg_font_install_details","フォントソース：%s。宛先：%s。"
"msg_invalid_font_index_passed","set_fontに無効なフォントインデックス%sが渡されました。"
"msg_font_config_field_missing","フォント設定に\""%s\""フィールドがありません。" 
