"keys","ja"
,
"lbl_avail_fonts","利用可能："
"lbl_font_preview","プレビュー："
"cbtn_preview_cyrillics","キリル文字をプレビュー"
"lbl_other_settings","その他の設定"
"lbl_font_sz_ui","UIフォントサイズ："
"lbl_font_sz_map","マップフォントサイズ："
"lbl_font_sz_overmap","オーバーマップフォントサイズ："
"cbtn_font_blending","フォントブレンディング："
"btn_save_font","保存"
"btn_set_font_ui","ゲームUIに設定"
"btn_set_font_map","マップに設定"
"btn_set_font_omap","オーバーマップに設定"
"btn_set_font_all","すべてに設定"
"btn_reset_font","すべてのフォントをリセット"
,
"tooltip_preview_cyrillics","ロシア語のパングラムを表示します。"
"tooltip_font_sz_ui","メニュー/ダイアログ/その他のフォントサイズ値。\nフォント幅と高さは自動的に設定されます。"
"tooltip_font_sz_map","ゲーム世界のフォントサイズ（タイルを使用していない場合）。\nフォント幅と高さは自動的に設定されます。"
"tooltip_font_sz_overmap","ワールドマップビュー（オーバーマップ）のフォントサイズ。\nフォント幅と高さは自動的に設定されます。"
"tooltip_font_blending","より滑らかなフォントレンダリング。"
"tooltip_save_font","クリックしてこれらの設定をoptions.jsonに保存します。\nフォント設定時にも自動的に保存されます。"
"tooltip_set_font_ui","選択したフォントをメニュー/ダイアログ/その他に使用します。"
"tooltip_set_font_map","選択したフォントをゲーム世界に使用します\n（タイルを使用していない場合）。"
"tooltip_set_font_omap","選択したフォントをワールドマップビュー（オーバーマップ）に使用します。"
"tooltip_set_font_all","選択したフォントをすべてに使用します。"
"tooltip_reset_font","デフォルトフォント（Terminus => Unifont）に戻します。"
,
"str_curr_font_config","現在のフォント + フォールバック："
"str_curr_font_config_ui","UI"
"str_curr_font_config_map","マップ"
"str_curr_font_config_omap","オーバーマップ"
,
"msg_no_font_config_file","現在フォントを管理できません：フォント設定ファイルが存在しません。作成するために少なくとも1回はゲームを開始してください。"
"msg_setting_ui_font","[i]%s[/i]をゲームUIフォントに設定中。"
"msg_setting_map_font","[i]%s[/i]をマップフォントに設定中。"
"msg_setting_omap_font","[i]%s[/i]をオーバーマップフォントに設定中。" 
