"keys","ja"
,
"lbl_channel","チャンネル："
"rbtn_stable","安定版"
"rbtn_experimental","実験版"
"lbl_changelog","[right][color=#3b93f7][url]実験版変更履歴を表示[/url][/color][/right]"
"lbl_builds","利用可能なビルド："
"btn_refresh","更新"
"btn_install","選択したものをインストール"
"btn_update","選択したものに更新"
"cb_update_active","現在のアクティブなインストールを更新"
"lbl_active_install","アクティブなインストール："
"btn_play","プレイ"
"btn_resume","最後の世界を再開"
"lbl_installs","インストール済みバージョン："
"lbl_currently_installed","現在インストール済み："
"lbl_none","なし"
"btn_activate","アクティブにする"
"btn_delete","削除"
,
"tooltip_game","管理またはプレイするゲームを選択してください。"
"tooltip_changelog","クリックしてGitHubから最新の変更の概要を読み込みます。"
"tooltip_stable","安定版リリースチャンネル（DDAのみ）。"
"tooltip_experimental","実験版リリースチャンネル。"
"tooltip_builds","インストールまたは更新するゲームのリリースを選択してください。"
"tooltip_refresh","GitHubから利用可能なゲームリリースのリストを\n再取得します（実験版リリースのみ）。"
"tooltip_install","選択したゲームリリースをインストールします（異なるフォークは\n別々に管理され、共存できます）。"
"tooltip_update","チェックすると、現在アクティブに設定されているゲームインストールが\n上で選択されたバージョンに置き換えられます。\nそうでなければ、選択されたビルドは新しい\n別のゲームインストールになります。"
"tooltip_game_dir","ゲームインストールディレクトリを開きます（ゲーム実行可能ファイルと\n組み込みゲームコンテンツが含まれます）。"
"tooltip_user_dir","ユーザーデータディレクトリを開きます（セーブ、\nゲーム設定、ユーザーMOD、サウンドなどが含まれます）"
"tooltip_play","ゲームを起動します。"
"tooltip_resume","メインメニューをスキップして最後にプレイした世界をクイックロードします。\n（複数ある場合は常に最初のキャラクターが読み込まれます。）"
"tooltip_wiki","このゲームフォークのwikiを開きます（現在TLGで利用可能）。"
"tooltip_search_wiki","入力された用語でTLG wikiを検索します（TLGでのみ利用可能）。"
"tooltip_activate","選択したゲームインストールをアクティブ（つまり使用中）に設定します。\n「アクティブ」インストールは、プレイ/再開をクリックしたときに起動される\nものであり、インストールをクリックしたときに更新されるものです。"
"tooltip_delete","選択したゲームのコピーを削除します。\n（セーブ、設定、その他のユーザーデータは\n別々に保存されており、失われません。）"
"tooltip_installs_item","場所：\n%s\n（ダブルクリックでフォルダーを開く）"
,
"msg_set_active","アクティブなインストールを %s に設定中。"
"msg_glibc_version_warning","Warning: this game build requires GLIBC %s, which is newer than what your system provides. The game may fail to start."
"msg_glibc_upgrade_hint","To fix this, upgrade your Linux distribution or use a newer Ubuntu/Debian base. Experimental builds track the latest GLIBC."
