"keys","ja"
,
"msg_mod_json_parsing_failed","%s を解析できませんでした"
"msg_mod_deleted","%s を削除しました"
"msg_mod_not_found","ID \"%s\" のMODが見つかりませんでした"
"msg_deleting_n_mods","%s 個のMODを削除中..."
"msg_obsolete_mod_collision","既にID %s の廃止されたMODが存在します。[%s] は衝突を避けるために変更されたIDと名前でインストールされます。"
"msg_mod_installed","%s をインストールしました"
"msg_installing_n_mods","%s 個のMODをインストール中..."
"msg_updating_mods_with_game","Updating %s mod(s) alongside the game..."
"msg_mod_download_failed","MOD %s のダウンロードに失敗しました"
"msg_mod_extraction_failed","MOD %s の抽出に失敗しました"
"msg_mod_extraction_error","MOD %s の抽出エラー：%s" 
