"keys","ja"
,
"msg_updating_game","%s に更新中..."
"msg_installing_game","%s をインストール中..."
"msg_game_updated","更新完了。"
"msg_game_installed","インストール完了。"
"msg_deleting_game","%s を削除中..."
"msg_game_deleted","削除完了。"
"msg_delete_not_found","リリース \"%s\" を削除しようとしましたが、ディスク上に見つかりませんでした。"
"msg_install_no_game_dir_found","展開されたアーカイブに有効なゲームディレクトリが見つかりませんでした。"
"msg_install_extract_failed","アーカイブの展開が失敗しました（エラーコード：%s）"
"msg_install_archive_not_found","インストールアーカイブが見つかりませんでした：%s"
"msg_install_no_valid_dirs_found","展開されたアーカイブに有効なディレクトリが見つかりませんでした。"
"msg_install_using_first_dir","複数のディレクトリが見つかりました。最初のものを使用します：%s"
"msg_install_set_executable","%s の実行権限を設定"
"msg_install_chmod_failed","%s の実行権限を設定できませんでした（エラー：%s）"
"msg_install_set_app_executable","%s の実行権限を設定：%s"
"msg_install_app_chmod_failed","%s:%s のアプリケーションバンドルの実行権限を設定できませんでした（エラー：%s）" 
