"keys","ja"
,
"msg_unsupported_platform","サポートされていないプラットフォーム：\""%s\"""
"msg_releases_request_failed","リクエストが失敗しました。インターネット接続がありますか？"
"msg_releases_api_failure","ビルドリストを取得できませんでした。GitHubが言っています：%s"
"msg_got_n_releases","%s 個のリリースを取得しました。"
"msg_fetching_releases_dda","DDA Experimental のリリースを取得中..."
"msg_fetching_releases_bn","BN Experimental のリリースを取得中..."
"msg_fetching_releases_eod","EOD Experimental のリリースを取得中..."
"msg_fetching_releases_tish","TISH Experimental のリリースを取得中..."
"msg_fetching_releases_tlg","TLG Experimental のリリースを取得中..."
"msg_fetching_releases","\""%s\"" のリリースを取得中..."
"msg_invalid_fetch_func_param","ReleaseManager.fetch() に %s が渡されました"
"msg_please_wait","しばらくお待ちください..."
"msg_please_wait_stable","しばらくお待ちください、安定版リリースを取得中..."
