"keys","ja"
,
"cbtn_debug_mode","デバッグモード"
"cbtn_enable_scale","有効化  "
"cbtn_keep_launcher_open","ゲーム開始後もランチャーを開いたままにする"
"cbtn_print_tips","起動時に今日のTipsを表示する"
"cbtn_shorten_release_names","実験版リリースの名前を短くする"
"cbtn_always_show_installs","常にインストールリストを表示する"
"cbtn_show_game_desc","ゲームの説明を表示する"
"cbtn_show_obsolete_mods","インストール済みに廃止されたモッドをリストする"
"cbtn_update_mods_with_game","Update mods when updating the game"
"cbtn_updating_to_same_build","インストール済みと同じビルドへの「更新」を許可する"
"cbtn_keep_cache","ダウンロードキャッシュを保持する"
"cbtn_ignore_cache","ダウンロードキャッシュを無視する"
"cbtn_enable_proxy","有効化  "
"obtn_proxy_option_off", "無効"
"obtn_proxy_option_on", "有効"
"obtn_proxy_option_download", "ダウンロードのみ"
,
"lbl_launcher_language","ランチャーの言語"
"lbl_launcher_theme","ランチャーのテーマ"
"lbl_num_prs_to_request","変更履歴のダウンロード結果数："
"lbl_num_releases_to_request","リクエストするリリース数："
"lbl_ui_scale_override","カスタムUIスケーリング："
"lbl_proxy_settings","プロキシサーバー："
"tooltip_debug_mode","テスト機能を含むデバッグタブを表示し、\nステータスパネルでデバッグメッセージを有効にします\n（トラブルシューティングに便利です）。"
"tooltip_keep_launcher_open","オフにすると、プレイまたは再開をクリックした後で\nランチャーが閉じます。\nゲームが何らかの理由で起動できない場合でも、ランチャーは\n閉じます。"
"tooltip_num_prs_to_request","変更履歴を形成するためにGitHubからリクエストされる\n最近のプルリクエスト（コード追加）の数。\n高い数字は遅い応答や失敗を引き起こす可能性があります。"
"tooltip_num_releases_to_request","ランチャー起動後、ゲーム選択時、または\nリフレッシュクリック時にGitHubからリクエストされる\n最新リリースの数。"
"tooltip_print_tips","ランチャー起動時にステータスパネルにランダムなTipsを表示します。"
"tooltip_shorten_release_names","リリース名を日付と番号のみに短くする\n（例：「2021-09-08-1927」の代わりに\n「Cataclysm-DDA experimental build 2021-09-08-1927」）。"
"tooltip_always_show_installs","ゲームのコピーが1つだけインストールされている場合、または\n全くない場合でもインストールリストを表示します。"
"tooltip_show_game_desc","ゲームリストの下に選択したゲームの説明を表示します。"
"tooltip_update_mods_with_game","When updating the game, automatically reinstall any\ninstalled mods that have a newer version available."
"tooltip_show_obsolete_mods","ゲームに付属しているが「廃止」としてマークされたモッドを表示します。\n通常、このようなモッドはインストール済みとはみなされません。"
"tooltip_ui_scale_override","自動的に推定されたUIスケールがシステム上で大きすぎるか\n小さすぎる場合に使用してください。（自動スケーリングは\nシステムが報告するディスプレイDPIに依存し、全てのシステムで\n機能するわけではなく、解像度が低すぎる場合に不適切な結果を\n与える可能性があります。）"
"tooltip_updating_to_same_build","選択したリリースが現在インストールされているものと同じでも\n更新手順を開始することを許可します。"
"tooltip_keep_cache","インストール完了時にダウンロードされたコンテンツ（ゲームリリース、\nモッドパック、サウンドパック）をキャッシュフォルダに保持し、\n削除する代わりにします。"
"tooltip_ignore_cache","コンテンツが既にキャッシュフォルダ内にある場合でも、\n常にウェブからダウンロードします。"
"tooltip_proxy_settings","ダウンロード用のプロキシサーバーを設定します。"
"tooltip_proxy_options","無効 - プロキシを使用しない\n有効 - すべての場合でプロキシを使用する（リリースのリクエスト時など）\nダウンロードのみ - ダウンロード時のみプロキシを使用する" 
