"keys","ja"
,
"msg_no_sound_dir","サウンドディレクトリが存在しません：%s"
"msg_no_config_dir","設定ディレクトリが存在しません。"
"msg_could_not_create_config_dir","設定ディレクトリを作成できませんでした。"
"msg_could_not_write_options","ゲームオプションに書き込めませんでした。"
"msg_deleting_sound","%s を削除中"
"msg_soundpack_not_found","名前が「%s」のサウンドパックが見つかりませんでした"
"msg_installing_sound","サウンドパック「%s」をインストール中..."
"msg_reinstalling_sound","サウンドパック「%s」を再インストール中..."
"msg_sound_download_failed","サウンドパックのアーカイブをダウンロードできませんでした。"
"msg_sound_installed","サウンドパックがインストールされました。"
"msg_soundpack_activated","サウンドパック「%s」がアクティブに設定されました。" 
