"keys","ja"
,
"msg_no_tileset_dir","タイルセットディレクトリが存在しません：%s"
"msg_deleting_tileset","%s を削除中"
"msg_tileset_not_found","名前が「%s」のタイルセットが見つかりませんでした"
"msg_installing_tileset","タイルセット「%s」をインストール中..."
"msg_reinstalling_tileset","タイルセット「%s」を再インストール中..."
"msg_tileset_download_failed","タイルセットのアーカイブをダウンロードできませんでした。"
"msg_tileset_installed","タイルセットがインストールされました。"
"msg_tileset_extraction_error","アーカイブの抽出が失敗しました（終了コード：%s）"
"msg_tileset_extraction_failed","抽出後に予期されるタイルセットディレクトリ「%s」が見つかりませんでした。"
"msg_tileset_extraction_debug","抽出ディレクトリ：%s、内容：%s" 
