"keys","ja"
,
"tip_os_hopping","DabdoobフォルダーをWindowsからLinux（またはその逆）に移動して使い続けることができますが、正しいDabdoob実行可能ファイルをダウンロードし、少なくとも1回はゲームを更新する必要があります。"
"tip_dual_install","[i]C:DDA[/i]、[i]C:TLG[/i]、[i]C:BN[/i]はすべて同時にインストールできます。これらのインストールは完全に独立しており、更新、MOD、サウンドパックは別々に管理されます。"
"tip_downgrading","以前のビルドに「更新」することでゲームバージョンをダウングレードできますが、セーブの互換性問題に注意してください。"
"tip_stock_mods","ゲームに付属するMODはDabdoobによって管理されません。Dabdoobは[i]/mods[/i]フォルダーのみを扱い、[i]/data/mods[/i]は扱いません。"
"tip_mod_multi_install","リストで[i]Ctrlクリック[/i]や[i]Shiftクリック[/i]を使用して、複数のMODを選択してインストール/削除できます。"
"tip_debug_mode","役に立たないエラーメッセージが表示されますか？より詳細な出力を得るには、[i]設定[/i]でデバッグモードを有効にしてみてください。"
"tip_bug_reporting","ランチャーで問題が発生し、[color=#3b93f7][url=https://github.com/Hihahahalol/Catapult_Dabdoob/issues]GitHub[/url][/color]で既に報告されているのを見かけない場合、あなたが最初に気づいた人かもしれません！GitHubアカウントをお持ちの場合は、チケットを作成することを検討してください。"
"tip_backup_caveat","ゲームで複数の世界を保持している場合、セーブゲームバックアップは常にセーブディレクトリ全体に対して動作することに注意してください。これは、バックアップが復元されると、セーブディレクトリの以前のすべての内容が失われることを意味します（このバックアップにないワールドも含めて）。"
"tip_multi_install","同時に複数のゲームバージョンをインストールし、簡単に切り替えることができるようになりました。ただし、セーブやその他のユーザーデータはインストール間で共有されるため、あまりにも異なるバージョン（例：安定版と実験版）間で切り替える際の破損や損傷に注意してください。"
"tip_discord","開発者とチャットしたいですか？TLGの[color=#3b93f7][url=https://discord.com/invite/zT9sXmZNCK]Discord[/url][/color]にランチャーについて話し合う専用チャンネルがあります。"
"tip_launcher","[color=#ff3300]セーブファイルを失わないでください！[/color]ランチャーはゲーム更新時に失われないよう、セーブを別途保存します。必ずランチャーを使用してゲームを実行してください"
"tip_mods","ランチャーを使用してゲームにMODをインストールできるようになりました！MODタブに移動すると、選択したCataclysmバージョンでダウンロード可能なMODを確認できます" 
