"keys","ko"
,
"lbl_installed_tilesets","설치됨:"
"lbl_avail_tilesets","다운로드 가능:"
"cbtn_stock_tilesets","기본 표시"
"btn_delete_tilesets","선택 항목 삭제"
"btn_install_tilesets","선택 항목 설치"
"btn_reinstall_tileset","선택 항목 재설치"
,
"tooltip_stock_tilesets","gfx에서 타일셋을 목록에 표시합니다. (현재는 항상 선택됨)"
"tooltip_delete_tilesets","게임 설치에서 선택한 타일셋을 제거합니다."
"tooltip_install_tilesets","선택한 타일셋을 다운로드하여 게임 설치에 추가합니다."
,
"dlg_tileset_deletion_title","타일셋 삭제 확인"
"dlg_tileset_deletion_text","%s 삭제 중."
"dlg_tileset_manual_dl_title","수동 다운로드 필요"
"dlg_tileset_manual_dl_text","이 타일셋은 자동으로 다운로드할 수 없습니다. 확인을 클릭하여 브라우저에서 다운로드한 다음 파일 선택 대화상자에서 저장한 위치를 선택하세요."
,
"str_no_tileset_desc","설명이 제공되지 않았습니다." 
