"keys","pl"
,
"msg_backing_up_saves","Kopiowanie zapisów gry do\""%s\""..."
"msg_backup_created","Kopia utworzona."
"msg_backup_name_taken","Kopia o nazwie \""%s\"" już istnieje."
"msg_restoring_backup","Przywracanie kopii \""%s\""..."
"msg_backup_restored","Kopia przywrócona."
"msg_backup_not_found","Kopia \""%s\"" nie istnieje."
"msg_deleting_backup","Usuwanie kopii \""%s\""..."
"msg_backup_deleted","Kopia usunięta."
"msg_deleting_multiple_backups","Usuwanie %s kopii zapasowych..."
"msg_multiple_backups_deleted","Usunięto %s kopii zapasowych."
