"keys","pl"
,
"msg_mod_json_parsing_failed","Nie udało się sparsować %s"
"msg_mod_deleted","Usunięto %s"
"msg_mod_not_found","Nie udało się znaleźć moda z ID \""%s\"""
"msg_deleting_n_mods","Usuwanie %s modów..."
"msg_obsolete_mod_collision","Istnieje już przestarzały mod z ID %s. [i]%s[/i] zostanie zainstalowany ze zmodyfikowanym ID oraz nazwą, aby uniknąć kolizji."
"msg_mod_installed","Zainstalowano %s"
"msg_installing_n_mods","Instalowanie %s modów..."
"msg_updating_mods_with_game","Updating %s mod(s) alongside the game..."
"msg_mod_download_failed","Nie udało się pobrać moda %s"
"msg_mod_extraction_failed","Nie udało się rozpakować moda %s"
"msg_mod_extraction_error","Błąd rozpakowywania dla moda %s: %s"
"msg_wiping_mod_repo","Wymazywanie repozytorium..."
