"keys","pl"
,
"msg_updating_game","Aktualizacja do %s..."
"msg_installing_game","Instalowanie %s..."
"msg_game_updated","Aktualizacja zakończona."
"msg_game_installed","Instalacja zakończona."
"msg_deleting_game","Usuwanie %s..."
"msg_game_deleted","Usuwanie zakończone."
"msg_delete_not_found","Próbowano usunąć wydanie \"%s\", ale nie można go znaleźć na dysku."
"msg_install_no_game_dir_found","Nie znaleziono prawidłowego katalogu gry w rozpakowanym archiwum."
"msg_install_extract_failed","Ekstrakcja archiwum zakończyła się błędem: %s"
"msg_install_archive_not_found","Nie znaleziono archiwum instalacyjnego: %s"
"msg_install_no_valid_dirs_found","Nie znaleziono prawidłowych katalogów w rozpakowanym archiwum."
"msg_install_using_first_dir","Znaleziono wiele katalogów, używam pierwszego: %s"
"msg_install_set_executable","Ustawianie uprawnień wykonywalnych dla: %s"
"msg_install_chmod_failed","Nie udało się ustawić uprawnień wykonywalnych dla %s (błąd: %s)"
"msg_install_set_app_executable","Ustawianie uprawnień wykonywalnych dla pliku wykonywalnego %s: %s"
"msg_install_app_chmod_failed","Nie udało się ustawić uprawnień wykonywalnych pakietu aplikacji dla %s:%s (błąd: %s)"
