"keys","pl"
,
"msg_unsupported_platform","Nieobsługiwana platforma: \""%s\"""
"msg_releases_request_failed","Żądanie nie powiodło się. Czy posiadasz połączenie z internetem?"
"msg_releases_api_failure","Nie udało się odebrać listy kompilacji. GitHub odpowiada: %s"
"msg_got_n_releases","Odebrano %s kompilacji."
"msg_fetching_releases_dda","Sprowadzanie kompilacji dla DDA Experimental..."
"msg_fetching_releases_bn","Sprowadzanie kompilacji dla BN Experimental..."
"msg_fetching_releases_eod","Sprowadzanie kompilacji dla EOD Experimental..."
"msg_fetching_releases_tish","Sprowadzanie kompilacji dla TISH Experimental..."
"msg_fetching_releases_tlg","Sprowadzanie kompilacji dla TLG Experimental..."
"msg_fetching_releases","Sprowadzanie kompilacji dla \""%s\""..."
"msg_invalid_fetch_func_param","ReleaseManager.fetch() przeszło %s"
"msg_please_wait","Proszę czekać..."
"msg_please_wait_stable","Proszę czekać, pobieranie stabilnych kompilacji..."
