"keys","pt"
,
"lbl_save_backups","Backups salvos no diretório:"
"btn_restore_backup","Restaurar"
"btn_delete_backup","Deletar"
"btn_refresh_backups","Atualizar"
"lbl_manual_backup","Backup manual"
"lbl_backup_name","Nome:"
"btn_create_backup","Criar"
"lbl_backup_info_placeholder","Selecione um backup existente para ver seus detalhes aqui."
"cbtn_backup_before_launch","Fazer backup automaticamente antes de iniciar o jogo"
"cbtn_backup_after_closing","Fazer backup automaticamente após fechar o jogo"
,
"backup_info_location","Local:"
"backup_info_worlds","Mundos:"
"backup_info_multiple_selected","Múltiplos backups selecionados"
"backup_info_selected_count","Selecionados: %s backups"
"and","e"
"more","mais"
