"keys","pt"
,
"window_title","Dabdoob — Launcher para Cataclysm: DDA e BN"
"str_welcome","Bem-vindo ao Dabdoob!"
"str_tip_of_the_day","\n\n[u]Dica do dia:[/u]\n"
"str_donor_of_the_day","\n\n[color=#f5c842][b]— Message from a donor —[/b][/color]\n"
"msg_theme_load_error","Não foi possível carregar o tema %s."
"debug_test","Esta é uma mensagem de debug para testar o carregamento da tradução."
,
"tag_warning","aviso"
"tag_error","erro"
"tag_debug","debug"
,
"lbl_game","Jogo:"
"desc_dda","[b]Cataclysm: Dark Days Ahead[/b] é um jogo de sobrevivência por turnos, ambientado em um mundo pós-apocalíptico. Explore, crie, construa, cultive, conserte e modifique veículos, instale biônicos, sofra mutações, defenda-se de [color=#009900]zumbis[/color] e inúmeras outras monstruosidades - tudo em um mundo ilimitado, gerado proceduralmente!"
"desc_bn","[b]Cataclysm: Bright Nights[/b]. Rejeite o pedantismo, abrace a [color=#ff3300]!!diversão!![/color]. Esse fork leva o jogo de volta às suas raízes de ficção científica roguelike e reverte muitas mudanças controversas feitas pela equipe do DDA (bolsos, proficiências, congelamento e [color=#3b93f7][url=https://docs.cataclysmbn.org/en/game/changelog/]mais[/url][/color]). É dada atenção especial ao combate, ao balanceamento e ao ritmo do jogo."
"desc_eod","[b]Cataclysm: Era of Decay[/b] é um fork de DDA com o objetivo principal de ter o máximo de configurabilidade acessível ao jogador possível, sem remover completamente nenhum dos recursos ou conteúdo original e deixando o jogo realista com as configurações padrão. Divirta-se da maneira que [color=#ff3300]você[/color] quiser."
"desc_tish","[b]Cataclysm: There Is Still Hope[/b] é um fork de DDA com foco em o jogo ser interessante acima de tudo, rejeitando as dicotomias de ''realismo ou diversão'' e ''verossimilhança ou diversão''."
"desc_tlg","O objetivo principal de [b]Cataclysm: The Last Generation[/b] é preservar a profundidade e o respeito pela plausibilidade do Cataclysm, enquanto refina o que ele sempre fez de melhor como um jogo, priorizando a progressão do personagem e elementos imersivos de simulação de vida em um mundo que testará suas habilidades de sobrevivência."
,
"tab_game","Jogo"
"tab_mods","Mods"
"tab_soundpacks","Sons"
"tab_tilesets","Tilesets"
"tab_fonts","Fontes"
"tab_backups","Backups"
"tab_settings","Opções"
"tab_about","Sobre"
"about_app_title","Dabdoob - Launcher Cataclysm"
"about_app_desc","Dabdoob é um launcher que continua o desenvolvimento do launcher Catapult agora abandonado. É desenvolvido e mantido por uma única pessoa. Você pode me encontrar no Discord e Github nos links abaixo.

Se você aprecia o trabalho dos criadores do Cataclysm e seus Mods/Tilesets/Soundpacks não se esqueça de conferir e se você aprecia meu trabalho, considere doar através do link abaixo!"
"about_links","Links"
"thank_you_title","Obrigado por baixar Dabdoob!"
"thank_you_message","Obrigado por instalar Dabdoob! Espero que você goste.

Isso pode não ser relevante para você agora, mas se você está se sentindo deprimido, ansioso ou inseguro de si mesmo, por favor procure ajuda de um ente querido, um amigo ou alguém em quem você confia.
Isso não te torna um fardo.
A forma como você se sente não é definitiva e as coisas vão melhorar.

Desejo-lhe um dia agradável e espero que se divirta com meu lançador."
"msg_extract_create_dir_failed","Falha ao criar o diretório de extração %s (erro: %s)"
"msg_extract_tool_not_found","Ferramenta de extração não encontrada: %s"
"msg_dmg_only_macos","Arquivos DMG só podem ser extraídos no macOS"
"msg_mounting_dmg","Montando arquivo DMG: %s"
"msg_dmg_mount_failed","Falha ao montar o arquivo DMG (erro: %s)"
"msg_dmg_mount_point_failed","Falha ao analisar o ponto de montagem do DMG"
"msg_copying_dmg_contents","Copiando conteúdo de: %s"
"msg_unmounting_dmg","Desmontando arquivo DMG"
"msg_dmg_unmount_warning","Aviso: Falha ao desmontar DMG (erro: %s)"
"msg_no_executable_found_macos","Nenhum executável encontrado no diretório do jogo"
"msg_fixing_executable_permissions","Corrigindo permissões de executáveis para: %s"
"msg_chmod_failed","Falha ao definir permissões de executáveis para %s (erro: %s)"
"msg_setting_working_dir","Definindo diretório de trabalho para: %s"
"msg_starting_macos_bundle","Iniciando pacote de aplicativo macOS: %s"
