"keys","pt"
,
"msg_mod_json_parsing_failed","Não foi possível analisar %s"
"msg_mod_deleted","Deletou %s"
"msg_mod_not_found","Não foi possível encontrar mod com ID \""%s\"""
"msg_deleting_n_mods","Deletando %s mods..."
"msg_obsolete_mod_collision","Já existe um mod obsoleto com ID %s. [i]%s[/i] será instalado com ID e nome modificados para evitar conflitos."
"msg_mod_installed","Instalou %s"
"msg_installing_n_mods","Instalou %s mods..."
"msg_updating_mods_with_game","Updating %s mod(s) alongside the game..."
"msg_mod_download_failed","Falha ao baixar o mod %s"
"msg_mod_extraction_failed","Falha ao extrair o mod %s"
"msg_mod_extraction_error","Erro de extração para o mod %s: %s"
"msg_wiping_mod_repo","Limpando o repositório..."
