"keys","pt"
,
"msg_updating_game","Atualizando para %s..."
"msg_installing_game","Instalando %s..."
"msg_game_updated","Atualização concluída."
"msg_game_installed","Instalação concluída."
"msg_deleting_game","Removendo %s..."
"msg_game_deleted","Remoção concluída."
"msg_delete_not_found","Tentou remover a versão \"%s\", mas não é possível encontrá-la no disco."
"msg_install_no_game_dir_found","Nenhum diretório de jogo válido encontrado no arquivo extraído."
"msg_install_extract_failed","Falha na extração do arquivo com código de erro: %s"
"msg_install_archive_not_found","Arquivo de instalação não encontrado: %s"
"msg_install_no_valid_dirs_found","Nenhum diretório válido encontrado no arquivo extraído."
"msg_install_using_first_dir","Vários diretórios encontrados, usando o primeiro: %s"
"msg_install_set_executable","Definir permissões de executável para: %s"
"msg_install_chmod_failed","Falha ao definir permissões de executável para %s (erro: %s)"
"msg_install_set_app_executable","Definir permissões de executável para o executável %s: %s"
"msg_install_app_chmod_failed","Falha ao definir permissões de executável do pacote de aplicativos para %s:%s (erro: %s)"
