"keys","ru"
,
"msg_updating_game","Обновление до %s..."
"msg_installing_game","Установка %s..."
"msg_game_updated","Обновление завершено."
"msg_game_installed","Установка завершена."
"msg_deleting_game","Удаление %s..."
"msg_game_deleted","Удаление завершено."
"msg_delete_not_found","Была попытка удалить релиз \"%s\", но не удалось найти его на диске."
"msg_install_no_game_dir_found","В извлеченном архиве не найдено подходящей папки с игрой."
"msg_install_extract_failed","Извлечение архива завершилось с ошибкой: %s"
"msg_install_archive_not_found","Не найден установочный архив: %s"
"msg_install_no_valid_dirs_found","В извлеченном архиве не найдено подходящих папок."
"msg_install_using_first_dir","Найдено несколько папок, используется первая: %s"
"msg_install_set_executable","Установка прав на исполнение для: %s"
"msg_install_chmod_failed","Не удалось установить права на исполнение для %s (ошибка: %s)"
"msg_install_set_app_executable","Установка прав на исполнение для исполняемого файла %s: %s"
"msg_install_app_chmod_failed","Не удалось установить права на исполнение пакета приложения для %s:%s (ошибка: %s)"
