"keys","ru"
,
"cbtn_debug_mode","Режим отладки"
"cbtn_enable_scale","Включить  "
"cbtn_keep_launcher_open","Держать лончер открытым после запуска игры"
"cbtn_print_tips","Выводить совет дня при запуске"
"cbtn_shorten_release_names","Сокращать названия экспериментальных релизов"
"cbtn_always_show_installs","Всегда показывать список установок"
"cbtn_show_game_desc","Показывать описание игры"
"cbtn_show_obsolete_mods","Показывать устаревшие моды в установленных"
"cbtn_update_mods_with_game","Update mods when updating the game"
"cbtn_updating_to_same_build","Разрешить «обновляться» на уже установленную версию"
"cbtn_keep_cache","Сохранять кэш загрузок"
"cbtn_ignore_cache","Игнорировать кэш загрузок"
"cbtn_enable_proxy","Включить  "
"obtn_proxy_option_off", "Выключено"
"obtn_proxy_option_on", "Включено"
"obtn_proxy_option_download", "Только для загрузки"
"lbl_launcher_language","Язык лончера"
"lbl_launcher_theme","Тема лончера"
"lbl_num_prs_to_request","Загружаемое количество записей для списка изменений:"
"lbl_num_releases_to_request","Запрашиваемое количество релизов:"
"lbl_ui_scale_override","Произвольный масштаб интерфейса:"
"lbl_proxy_settings","Прокси-сервер:"
"tooltip_debug_mode","Показать вкладку Debug с тестовыми функциями\nи включить отладочные сообщения в панели статуса\n(полезно при поиске проблем)."
"tooltip_keep_launcher_open","Если выключено, то после нажатия Играть или Продолжить лончер будет закрыт.\nЭто произойдет даже если игра по какой-то причине не смогла запуститься."
"tooltip_num_prs_to_request","Сколько последних пул-реквестов (изменений в коде игры)\nнужно запрашивать с GitHub для формирования списка изменений.\nВысокие значения могут привести к медленным ответам и ошибкам."
"tooltip_num_releases_to_request","Сколько свежих релизов нужно запрашивать с GitHub\nпосле запуска лончера, выбора игры или нажатия Обновить."
"tooltip_print_tips","Печатать случайный совет в панели статуса при запуске лончера."
"tooltip_shorten_release_names","Сокращать названия релизов до даты и номера\n(например, просто ""2021-09-08-1927"" вместо\n""Cataclysm-DDA experimental build 2021-09-08-1927"")."
"tooltip_always_show_installs","Показывать список установок даже когда установлена\nтолько одна копия игры (или вообще ни одной)."
"tooltip_show_game_desc","Показывать описание для выбранной игры под списком."
"tooltip_update_mods_with_game","When updating the game, automatically reinstall any\ninstalled mods that have a newer version available."
"tooltip_show_obsolete_mods","Показывать моды, которые встроены в игру,\nно помечены как "устаревшие". В противном случае\nлончер не считает такие моды установленными."
"tooltip_ui_scale_override","Воспользуйтесь этой настройкой, если автоматически\nопределенный масштаб интерфейса выглядит слишком мелко\nили крупно на вашей системе. (Автоматическое определение\nмасштаба полагается на сообщаемый системой DPI экрана,\nчто может не сработать на некоторых системах, или дать\nнеадекватный результат, когда разрешение слишком низкое)."
"tooltip_updating_to_same_build","Разрешить запускать процесс обновления игры\nдаже когда выбранна та же версия, что уже установлена."
"tooltip_keep_cache","Хранить загруженный контент (релизы игр, модпаки, звуковые пакеты) в папке кэша\nпосле завершения установки, вместо его удаления."
"tooltip_ignore_cache","Всегда загружать контент из сети,\nдаже если он уже находится в папке кэша."
"tooltip_proxy_settings","Настроить прокси-сервер для загрузки."
"tooltip_proxy_options","Отключено - Не использовать прокси\nВключено - Использовать прокси во всех случаях (например, при запросе релизов)\nТолько для загрузки - Использовать прокси только при загрузке"
