"keys","tr"
,
"lbl_save_backups","Kayıt dosyası yedekleri:"
"btn_restore_backup","Kurtar"
"btn_delete_backup","Sil"
"btn_refresh_backups","Yenile"
"lbl_manual_backup","Elle yedek"
"lbl_backup_name","İsim:"
"btn_create_backup","Oluştur"
"lbl_backup_info_placeholder","Detayları görmek için bir yedek seçin."
"cbtn_backup_before_launch","Oyunu başlatmadan önce kayıtları otomatik yedekle"
"cbtn_backup_after_closing","Oyunu kapattıktan sonra kayıtları otomatik yedekle"
,
"backup_info_location","Konum:"
"backup_info_worlds","Dünyalar:"
"backup_info_multiple_selected","Çoklu yedek seçildi"
"backup_info_selected_count","Seçildi: %s yedek"
"and","ve"
"more","daha fazla"
