"keys","tr"
,
"msg_mod_json_parsing_failed","%s alınamadı"
"msg_mod_deleted","%s silindi"
"msg_mod_not_found","\""%s\"" ID sine sahip mod bulunamadı"
"msg_deleting_n_mods","%s mod siliniyor..."
"msg_obsolete_mod_collision","%s ID sine sahip geçersiz bir mod var.Karışıklıklara sebep olmaması için [i]%s[/i] değiştirilmiş bir ad ve ID ile yüklenecek."
"msg_mod_installed","%s modu yüklendi"
"msg_installing_n_mods","%s mod yükleniyor..."
"msg_updating_mods_with_game","Updating %s mod(s) alongside the game..."
"msg_mod_download_failed","%s modu indirilemedi"
"msg_mod_extraction_failed","%s modu çıkarılamadı"
"msg_mod_extraction_error","%s modu çıkarma hatası: %s"
"msg_wiping_mod_repo","Dizin temizleniyor..."
