"keys","tr"
,
"msg_updating_game","%s e güncelleniyor..."
"msg_installing_game","%s yükleniyor..."
"msg_game_updated","Güncelleme bitti"
"msg_game_installed","Yükleme bitti"
"msg_deleting_game","%s kaldırılıyor..."
"msg_game_deleted","Kaldırma bitti"
"msg_delete_not_found","Sürüm \""%s\"" kaldırılmaya çalışıldı, fakat diskte bulunamadı."
"msg_install_no_game_dir_found","Çıkartılmış arşivde geçerli oyun dizini bulunamadı."
"msg_install_extract_failed","Arşiv çıkarma hatası: %s"
"msg_install_archive_not_found","Yükleme arşivi bulunamadı: %s"
"msg_install_no_valid_dirs_found","Çıkartılmış arşivde geçerli dizin bulunamadı."
"msg_install_using_first_dir","Çoklu dizin bulundu, ilki kullanılıyor: %s"
"msg_install_set_executable","Çalıştırılabilir izinler ayarlanıyor: %s"
"msg_install_chmod_failed","Çalıştırılabilir izinler ayarlanamadı %s (hata: %s)"
"msg_install_set_app_executable","Çalıştırılabilir izinler ayarlanıyor %s çalıştırılabilir dosyası: %s"
"msg_install_app_chmod_failed","Uygulama paketi çalıştırılabilir izinleri ayarlanamadı %s:%s (hata: %s)"
