"keys","tr"
,
"msg_no_tileset_dir","Tileset dizini mevcut değil: %s"
"msg_deleting_tileset","%s siliniyor"
"msg_tileset_not_found","İsimli tileset bulunamadı \""%s\"""
"msg_installing_tileset","Tileset yükleniyor \""%s\""..."
"msg_reinstalling_tileset","Tileset yeniden yükleniyor \""%s\""..."
"msg_tileset_download_failed","Tileset arşivi indirilemedi."
"msg_tileset_installed","Tileset yüklendi."
"msg_tileset_extraction_error","Arşiv çıkarma işlemi başarısız oldu (çıkış kodu: %s)"
"msg_tileset_extraction_failed","Beklenen tileset dizini '%s' çıkarma işleminden sonra bulunamadı."
"msg_tileset_extraction_debug","Çıkarma dizini: %s, İçerik: %s" 
