"keys","zh"
,
"msg_mod_json_parsing_failed","无法解析%s"
"msg_mod_deleted","已删除%s"
"msg_mod_not_found","无法找到ID为\""%s\""的模组"
"msg_deleting_n_mods","正在删除%s个模组..."
"msg_obsolete_mod_collision","已经存在ID为%s的过时模组。[i]%s[/i]将会以调整后的ID和名称安装以避免冲突。"
"msg_mod_installed","已安装%s"
"msg_installing_n_mods","正在安装%s个模组..."
"msg_updating_mods_with_game","Updating %s mod(s) alongside the game..."
"msg_mod_download_failed","下载模组%s失败"
"msg_mod_extraction_failed","解压模组%s失败"
"msg_mod_extraction_error","模组%s解压错误：%s"
"msg_wiping_mod_repo","正在移除本地存储..."
