"keys","zh"
,
"msg_updating_game","更新至%s..."
"msg_installing_game","正在安装%s..."
"msg_game_updated","更新完成。"
"msg_game_installed","安装完成。"
"msg_deleting_game","正在删除 %s..."
"msg_game_deleted","删除完成。"
"msg_delete_not_found","试图删除版本 \"%s\"，但在磁盘上找不到它。"
"msg_install_no_game_dir_found","在解压的存档中未找到有效的游戏目录。"
"msg_install_extract_failed","存档解压失败，错误代码：%s"
"msg_install_archive_not_found","安装存档未找到：%s"
"msg_install_no_valid_dirs_found","在解压的存档中未找到有效的目录。"
"msg_install_using_first_dir","找到多个目录，使用第一个：%s"
"msg_install_set_executable","为 %s 设置可执行权限"
"msg_install_chmod_failed","为 %s 设置可执行权限失败（错误：%s）"
"msg_install_set_app_executable","为 %s 可执行文件设置可执行权限：%s"
"msg_install_app_chmod_failed","为 %s:%s 设置应用包可执行权限失败（错误：%s）"
