"keys","zh"
,
"msg_unsupported_platform","不支持的平台：\""%s\"""
"msg_releases_request_failed","请求失败。你的网络正常连接吗？"
"msg_releases_api_failure","无法获取版本列表。GitHub说：%s"
"msg_got_n_releases","获取了%s个发布。"
"msg_fetching_releases_dda","正在为DDA测试版获取发布... "
"msg_fetching_releases_bn","正在为BN测试版获取发布..."
"msg_fetching_releases_eod","正在为EOD测试版获取发布..."
"msg_fetching_releases_tish","正在为TISH测试版获取发布..."
"msg_fetching_releases_tlg","正在为TLG测试版获取发布..."
"msg_fetching_releases","正在为\""%s\""获取发布..."
"msg_invalid_fetch_func_param","ReleaseManager.fetch()已传至%s"
"msg_please_wait","请稍候..."
"msg_please_wait_stable","请稍候，正在获取稳定版本..."
